HORA_INT,DIA_SEMANA_INT,DIA_MES_INT,MES,ACTIVIDAD,SCA_AREA,DENSIDAD_NOCTURNA,DENSIDAD_BANCARIA,DENSIDAD_TIENDAS,DENSIDAD_PARQUES,ILUMINACION,PERSONAS,SEGURIDAD,SENDERO,TRANSPORTE,GENERO,DELITOS
NOCHE,ENTRE SEMANA,NO QUINCENA,1,PROPIEDAD PRIVADA,4.964836776510866e-05,5,2,20,4,170.40505832018852,57.34537982765034,3.3480087025125203,173.23798876077603,114.34737414735068,MASCULINO,HURTO A PATRIMONIO
MAÑANA,ENTRE SEMANA,NO QUINCENA,5,PROPIEDAD PRIVADA,3.9620230203245474e-05,0,1,15,3,57.72859011761668,7.866821899795459,1.9667054749488648,57.38152444556688,38.639978154877696,MASCULINO,HURTO A PERSONAS
NOCHE,FIN DE SEMANA,NO QUINCENA,1,PROPIEDAD PRIVADA,1.4814884182469546e-05,7,2,20,1,50.84822153800439,17.111643318582836,0.9990330680010936,51.69355721092839,34.12082170711428,MASCULINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,NO QUINCENA,12,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,QUINCENA,10,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,MASCULINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,10,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,FEMENINO,HURTO A PERSONAS
MAÑANA,ENTRE SEMANA,NO QUINCENA,10,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,FEMENINO,HURTO A PATRIMONIO
NOCHE,ENTRE SEMANA,QUINCENA,3,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,MASCULINO,HURTO A PERSONAS
NOCHE,ENTRE SEMANA,QUINCENA,3,PARQUES,8.308361213081562e-05,4,1,20,5,322.4096331893993,48.719677904175896,15.404015807937968,330.6489904820173,201.3269042804916,MASCULINO,HURTO A PATRIMONIO
TARDE,FIN DE SEMANA,NO QUINCENA,12,PARQUES,6.541999981481122e-05,5,6,20,17,199.1806139519552,44.96838400878499,8.553768697323232,198.44743377789896,148.10239515936794,MASCULINO,HURTO A PERSONAS
